iter	Passed	Remaining
0	60	60108
1	60	30196
2	60	20232
3	61	15248
4	61	12261
5	61	10261
6	62	8839
7	62	7767
8	62	6930
9	63	6262
10	63	5717
11	63	5264
12	64	4877
13	64	4546
14	64	4261
15	65	4009
16	65	3786
17	65	3590
18	66	3414
19	66	3253
20	66	3108
21	67	2978
22	67	2858
23	67	2753
24	68	2655
25	68	2561
26	68	2474
27	68	2395
28	69	2319
29	69	2253
30	69	2187
31	70	2125
32	70	2067
33	70	2014
34	71	1962
35	71	1914
36	71	1868
37	72	1825
38	72	1785
39	72	1746
40	73	1708
41	73	1672
42	73	1638
43	73	1605
44	74	1573
45	74	1543
46	74	1516
47	75	1489
48	75	1463
49	75	1438
50	75	1413
51	76	1389
52	76	1367
53	76	1345
54	77	1324
55	77	1303
56	77	1284
57	77	1264
58	78	1246
59	78	1228
60	78	1211
61	78	1194
62	79	1178
63	79	1163
64	79	1148
65	80	1133
66	80	1119
67	80	1105
68	80	1091
69	81	1078
70	81	1065
71	81	1053
72	82	1043
73	82	1031
74	82	1019
75	82	1008
76	83	998
77	83	988
78	83	978
79	84	967
80	84	957
81	84	947
82	84	936
83	84	926
84	85	917
85	85	908
86	85	900
87	86	891
88	86	883
89	86	876
90	87	869
91	87	861
92	87	853
93	87	845
94	88	838
95	88	831
96	88	824
97	88	817
98	89	810
99	89	803
100	89	797
101	89	790
102	90	785
103	90	779
104	90	773
105	91	767
106	91	762
107	91	756
108	91	750
109	92	745
110	92	739
111	92	734
112	92	728
113	93	723
114	93	718
115	93	713
116	93	707
117	94	702
118	94	698
119	94	693
120	94	688
121	94	683
122	95	678
123	95	674
124	95	669
125	95	665
126	96	660
127	96	656
128	96	652
129	96	648
130	97	644
131	97	641
132	97	637
133	98	633
134	98	629
135	98	626
136	98	622
137	99	618
138	99	615
139	99	611
140	99	608
141	99	604
142	100	600
143	100	597
144	100	594
145	101	590
146	101	587
147	101	584
148	101	581
149	102	578
150	102	575
151	102	572
152	102	569
153	103	566
154	103	563
155	103	560
156	103	558
157	104	555
158	104	552
159	104	549
160	104	546
161	105	543
162	105	540
163	105	538
164	105	535
165	106	533
166	106	530
167	106	528
168	106	525
169	107	523
170	107	521
171	107	518
172	108	516
173	108	514
174	108	511
175	108	509
176	109	507
177	109	504
178	109	502
179	109	500
180	110	498
181	110	496
182	110	494
183	110	491
184	111	489
185	111	487
186	111	485
187	111	483
188	112	481
189	112	479
190	112	477
191	113	475
192	113	473
193	113	471
194	113	469
195	114	467
196	114	466
197	114	464
198	114	462
199	115	460
200	115	458
201	115	456
202	115	455
203	116	453
204	116	451
205	116	449
206	116	447
207	117	446
208	117	444
209	117	442
210	117	440
211	118	439
212	118	438
213	118	436
214	119	434
215	119	433
216	119	431
217	119	429
218	120	428
219	120	426
220	120	425
221	120	423
222	121	421
223	121	420
224	121	419
225	121	417
226	122	416
227	122	415
228	122	413
229	123	412
230	123	410
231	123	409
232	123	408
233	124	406
234	124	405
235	124	403
236	125	402
237	125	401
238	125	399
239	125	398
240	126	397
241	126	395
242	126	394
243	126	393
244	127	391
245	127	390
246	127	389
247	128	388
248	128	387
249	128	385
250	128	384
251	129	383
252	129	382
253	129	381
254	130	380
255	130	379
256	130	377
257	130	376
258	131	375
259	131	374
260	131	372
261	131	371
262	132	370
263	132	369
264	132	368
265	133	367
266	133	365
267	133	364
268	133	363
269	134	362
270	134	361
271	134	360
272	134	359
273	135	358
274	135	356
275	135	355
276	135	354
277	136	353
278	136	352
279	136	351
280	136	350
281	137	349
282	137	348
283	137	347
284	138	346
285	138	345
286	138	344
287	139	343
288	139	342
289	139	341
290	139	340
291	140	339
292	140	339
293	140	338
294	141	337
295	141	336
296	141	335
297	141	334
298	142	333
299	142	332
300	142	331
301	143	330
302	143	329
303	143	329
304	144	328
305	144	327
306	144	326
307	145	325
308	145	325
309	145	324
310	145	323
311	146	322
312	146	321
313	146	320
314	147	319
315	147	318
316	147	317
317	147	317
318	148	316
319	148	315
320	148	314
321	149	313
322	149	312
323	149	311
324	149	311
325	150	310
326	150	309
327	150	308
328	150	307
329	151	306
330	151	305
331	151	304
332	151	303
333	151	303
334	152	302
335	152	301
336	152	300
337	152	299
338	153	298
339	153	298
340	153	297
341	154	296
342	154	295
343	154	295
344	155	294
345	155	293
346	155	292
347	155	291
348	156	291
349	156	290
350	156	289
351	156	288
352	157	287
353	157	287
354	157	286
355	157	285
356	158	285
357	158	284
358	159	283
359	159	283
360	159	282
361	159	281
362	160	281
363	160	280
364	160	279
365	161	279
366	161	278
367	161	277
368	162	277
369	162	276
370	162	275
371	162	275
372	163	274
373	163	273
374	163	273
375	164	272
376	164	271
377	164	271
378	165	270
379	165	270
380	165	269
381	166	268
382	166	268
383	166	267
384	166	266
385	167	266
386	167	265
387	167	264
388	168	264
389	168	263
390	168	262
391	169	262
392	169	261
393	169	261
394	170	260
395	170	259
396	170	259
397	170	258
398	171	257
399	171	257
400	171	256
401	172	255
402	172	255
403	172	254
404	172	253
405	173	253
406	173	252
407	173	251
408	173	251
409	174	250
410	174	249
411	174	249
412	174	248
413	175	247
414	175	247
415	175	246
416	175	245
417	176	245
418	176	244
419	176	243
420	176	243
421	177	242
422	177	241
423	177	241
424	177	240
425	178	239
426	178	239
427	178	238
428	179	238
429	179	238
430	180	238
431	180	237
432	180	236
433	181	236
434	181	236
435	182	235
436	182	235
437	182	234
438	183	234
439	183	233
440	183	233
441	184	232
442	184	231
443	184	231
444	184	230
445	185	230
446	185	229
447	186	229
448	186	228
449	186	228
450	187	227
451	187	227
452	188	227
453	188	226
454	188	226
455	189	225
456	189	225
457	190	225
458	190	224
459	190	224
460	191	223
461	191	223
462	192	223
463	192	222
464	192	222
