iter	Passed	Remaining
0	0	28
1	0	30
2	0	31
3	1	27
4	1	28
5	1	27
6	2	26
7	2	25
8	2	26
9	2	25
10	3	25
11	3	24
12	3	25
13	4	25
14	4	24
15	4	24
16	4	23
17	5	23
18	5	23
19	5	23
20	6	23
21	6	22
22	6	22
23	6	21
24	7	21
25	7	21
26	7	21
27	8	20
28	8	20
29	8	20
30	9	20
31	9	19
32	9	19
33	10	19
34	10	20
35	11	20
36	11	19
37	11	19
38	12	18
39	12	18
40	12	18
41	12	17
42	12	17
43	13	16
44	13	16
45	13	16
46	14	15
47	14	15
48	14	15
49	14	14
50	15	14
51	15	14
52	15	13
53	16	13
54	16	13
55	16	12
56	16	12
57	16	12
58	17	11
59	17	11
60	17	11
61	18	11
62	18	10
63	18	10
64	18	10
65	19	9
66	19	9
67	19	9
68	19	8
69	20	8
70	20	8
71	20	8
72	21	7
73	21	7
74	21	7
75	21	6
76	22	6
77	22	6
78	22	6
79	23	5
80	23	5
81	23	5
82	24	4
83	24	4
84	24	4
85	24	4
86	25	3
87	25	3
88	25	3
89	25	2
90	26	2
91	26	2
92	26	2
93	27	1
94	27	1
95	27	1
96	28	0
97	28	0
98	28	0
99	28	0
